Название,Автор,Цена,Рейтинг
Безопасность операционных систем. Учебное пособие для вузов,Окороков Валерий Анатольевич,1 503 ₽,N/A
Операционные системы и оболочки. Учебное пособие,Малахов Сергей Валерьевич,688 ₽,N/A
Операционные системы и оболочки. Учебное пособие,Малахов Сергей Валерьевич,791 ₽,N/A
"Операционные системы. Bodhi Linux 6.0. Установка, настройка, эксплуатация. Учебное пособие",Орещенков Игорь Сергеевич,2 406 ₽,N/A
Операционные системы. Практикум. Учебное пособие,Иванько,1 151 ₽,N/A
Операционные системы. Практикум. Учебное пособие для СПО,Иванько,1 151 ₽,N/A
Работа с таблицами на примере Microsoft Excel. Учебное пособие для СПО,Калмыкова,732 ₽,N/A
Основы Microsoft Azure. Подготовка к экзамену AZ-900,Чешир Джим,1 456 ₽,N/A
Операционные системы. Три простых элемента,Арпачи-Дюссо,2 307 ₽,N/A
Операционные системы. Учебник для СПО,Староверова Наталья Александрона,2 117 ₽,N/A
"Операционные системы, среды и оболочки. Учебное пособие",Кобылянский Валерий Григорьевич,1 511 ₽,N/A
Кибербезопасность. Стратегии атак и обороны,Диогенес,1 396 ₽,N/A
Операционная система Linux. Курс лекций. Учебное пособие,Курячий,1 093 ₽,N/A
Основы работы с Linux. Учебный курс,Войтов Никита Михайлович,728 ₽,N/A
Эффективное использование потоков в операционной системе Android,Ёранссон Андерс,1 093 ₽,N/A
PowerShell как средство автоматического администрирования,Коробко Иван Викторович,728 ₽,N/A
Microsoft Windows 8. Руководство пользователя,Томашевский Ден,343 ₽,N/A
Linux с нуля,Бикманс Жерар,849 ₽,N/A
Операционные системы. Учебное пособие. ФГОС,Дроздов Сергей Николаевич,236 ₽,N/A
"Windows 8: планшет, компьютер, ноутбук",Докшин Роман,62 ₽,N/A
Windows 8. Знакомство и беспроблемный переход,Пташинский Владимир Сергеевич,221 ₽,N/A
Линукс Юниор. Книга для учителя,Волков Владимир Борисович,546 ₽,N/A
